Date,Type,Link
2020-05-24 15:14:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6669651914235416577
2020-05-21 00:35:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6668994394592489472
2020-05-09 19:47:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6664973237778288640
2020-05-06 20:20:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6659542719649632256
2020-05-06 14:46:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6663331105971728384
2020-05-04 12:36:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6661903512793829376
2020-05-03 15:30:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6660787119407140864
2020-04-24 18:33:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6659389407218462720
2020-04-22 20:05:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6658756295169978368
2020-04-19 10:02:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6655533935881256960
2020-04-15 18:21:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6653197366318952448?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6653197366318952448%2C6653962038924181504%29
2020-03-09 20:03:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6642868684077572097
2020-03-09 09:22:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6642679991106580480
2020-02-26 20:01:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6638029910571008002
2020-01-29 06:36:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6628030345109360640
2020-01-20 14:37:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6624991092414705665
2020-01-02 04:36:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6617840417075531776
2019-12-21 12:35:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6614089651751911424
2019-12-21 12:31:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6613401750022033409
2019-12-18 21:24:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6611624374976032768
2019-12-01 09:04:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6605842516967211008
2019-11-21 19:21:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6603312258862891009
2019-11-14 14:03:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6600639309601095680
2019-10-29 20:15:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6595031359704580096
2019-10-25 20:50:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6593096336197857280
2019-10-21 11:35:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6591973334324523008
2019-10-18 16:47:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6590861229114310656
2019-10-14 14:14:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6589506627336974336
2019-10-14 08:27:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6589409121055969280
2019-10-14 06:54:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6589209815078232064
2019-10-06 06:23:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6586253061214347264
2019-10-05 06:45:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6582230865990955008
2019-10-04 18:18:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6585869004907393024
2019-10-03 20:11:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6576472825924726784
2019-10-03 15:32:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6584525432987635712
2019-10-03 15:31:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6585421265031450624
2019-10-02 20:04:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6581133176725348352
2019-10-02 19:45:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6585235732208721920
2019-10-01 20:38:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6584868655203397632
2019-10-01 14:09:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6584796834290630657
2019-09-30 20:26:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6584516305976643585
2019-09-30 09:14:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6584358393908203521
2019-09-26 12:34:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6582641763113140225
2019-09-13 09:21:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6578159255298297856
2019-08-02 05:33:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6562732225064914944
2019-07-20 08:35:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6558071718064328704
2019-07-20 08:34:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6557320886691733504
2019-07-20 07:37:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6558008429674278912
2019-07-12 13:38:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6555359439778533376
2019-07-04 20:30:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6552169674296045568
2019-07-01 09:37:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6551375652937879552
2019-06-05 15:48:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6542052981360119809
2019-05-17 05:34:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6534760577779281920
2019-04-16 08:45:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6523101818908614656
2019-04-08 17:22:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6520483112013565952
2019-01-26 11:22:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6494650077427175424
2019-01-01 18:25:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aarticle%3A6971855719610830105
2018-12-16 18:45:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6478610679690596352
2018-10-31 19:55:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6463396309230514176
2018-10-15 18:36:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6457495028401991680
